"Planet_number";"P_name";"star_idx";"Mass";"RELATIVE DENSITY";"RADIUS";"terrain type";"TYPE OF CLIMATE"
931;"Aljanah Undecimal";3735;2,88;1,102;1,38;"rocky canyon";"tropical:subartic:rocky:windy"
932;"Aljanah Secant";3735;1,64;1,341;1,07;"sinkholes:lava river:vine:lakes:ash";"windy:rocky:hot:temperate:artificial temperate"
933;"Rigel Secant";50;1,89;0,976;1,25;"urban:volcano";"arid:superheated:tropical:frozen:frigid:temperate:hot"
934;"Rigel Duodecimal";50;4,98;1,227;1,6;"hill:volcano";"artic:frigid:hot"
935;"Nunki Sirenios";8491;5,8;0,691;2,03;"volcano:rocky island";"rocky:artic:hot:frigid:tropical:frozen:artificial temperate"
936;"Ainalrami Oranos";1912;0,57;1,335;0,75;"ash";"hot:humid"
937;"Ainalrami Gaian";1912;0,98;1,207;0,93;"urban:forest";"frigid:tropical:frozen"
938;"Ainalrami Eosian";1912;5,15;1,045;1,7;"desert";"hot"
939;"Ainalrami Selenean";1912;6,49;1,106;1,8;"rocky island";"frigid:windy:artic:superheated:humid:frozen"
940;"Cebalrai Irisian";3030;2,01;1,233;1,18;"rainforest:forest:tundra";"artic:superheated:frozen:rocky"
941;"Ankh Horizon Tritonian";4478;3,28;0,766;1,62;"plateau:river:glacier:city:canyons:tundra";"frozen:superheated:hot:rocky:artificial temperate:subartic"
942;"Grumium Secant";7928;1,57;0,679;1,32;"urban:river";"artificial temperate:hot"
943;"Grumium Tertial";7928;7,02;1,489;1,68;"lava river";"humid:frozen:artic:superheated"
944;"Grumium Vigesimal";7928;6,87;0,48;2,43;"field:swamp:fungus forest:lakes:scrubland:forest:city:savanna:verdant";"humid:tropical:arid:temperate:rocky:frigid"
945;"Horus' Gaze Gamma";5033;1,38;1,025;1,1;"river";"humid"
946;"Albali Janusian";7793;0,92;1,322;0,89;"cliff";"artificial temperate:arid:tropical:frozen:temperate:superheated:subartic"
947;"Albali Pegasusian";7793;3,18;0,751;1,62;"verdant:sea:rocky desert:plain:hill";"temperate:arid:frozen"
948;"Albali Oranos";7793;9,26;0,895;2,18;"cliff:reef:glacier:cityscape:plateau";"temperate:windy:artificial temperate:frozen"
949;"Ra's Echo Demetrian";9996;4,89;1,074;1,66;"bog";"temperate:subartic:frozen:windy:tropical"
950;"Hotaru Ascendance Shi";4667;1,44;0,993;1,13;"island:ocean:grassy hill";"tropical:humid"
951;"Hotaru Ascendance Yi";4667;1,35;0,922;1,14;"desert:canyons";"artic:hot"
952;"Hotaru Ascendance Liu";4667;6,74;0,989;1,9;"cityscape:cliff:sea:rocky island";"temperate:arid:subartic:superheated:humid"
953;"Hotaru Ascendance Jiu";4667;4;0,826;1,69;"tundra:toxic cloudsea:cityscape";"subartic:artic"
954;"Nova Veil XVIII";4031;6,79;0,909;1,95;"fungus forest:valley:cave:sea";"rocky:artic:windy:hot"
955;"Nova Veil XII";4031;1,5;0,864;1,2;"lakes:tundra:plain:field";"subartic:rocky:artic:artificial temperate:frigid"
956;"Nova Veil XIII";4031;3,27;0,452;1,93;"acid pool:ocean:swamp";"artic:humid:tropical:artificial temperate"
957;"Tejat Helios";9174;0,8;1,271;0,86;"swamp";"arid:subartic:temperate:rocky:humid:superheated"
958;"Galaxy Prism Xi";8942;2,5;1,343;1,23;"field:city:valley:river";"frozen:rocky:frigid:humid"
959;"Galaxy Prism Alpha";8942;0,54;0,704;0,92;"cliff:river:rocky island";"subartic:temperate:artificial temperate:humid:tropical:artic:windy"
960;"Galaxy Prism Gamma";8942;0,38;0,903;0,75;"urban:ice cave";"temperate:artic"
961;"Galaxy Prism Eta";8942;1,71;xx;1,22;"ice cave:fungus forest";"superheated:arid:artic:hot"
962;"Fuyue Nonal";6780;6,19;1,328;1,67;"rocky island:mountain:acid pool:vine:ash";"hot:artificial temperate:temperate:tropical"
963;"Fuyue Quintal";6780;8,64;1,145;1,96;"vine:barren:hill:ice canyon:jungle";"artic:artificial temperate:rocky:subartic:arid:hot:temperate"
964;"Lionrock Yi";5404;1,97;1,058;1,23;"desert:river:forest:jungle:rocky island";"rocky:tropical:frigid"
965;"Lionrock Si";5404;1,1;1,026;1,02;"jungle";"tropical"
966;"Cimmerian Veil Shi";5686;0,86;1,282;0,88;"hill:city";"temperate"
967;"Astroflux Quintal";2341;2,01;0,589;1,51;"lava river";"subartic:humid:windy:hot"
968;"Kiseki Expanse Sirenios";5901;9,29;0,715;2,35;"plain";"frozen"
969;"Kiseki Expanse Astraeos";5901;0,81;1,382;0,84;"mountain:lava river";"superheated:rocky:temperate"
970;"Kiseki Expanse Hadean";5901;6,04;0,96;1,85;"reef:sinkholes:acid pool:field:lakes:bog";"temperate:tropical:subartic:humid:hot"
971;"Kiseki Expanse Artemian";5901;1,68;0,969;1,2;"desert:sinkholes:rock arche:mountain:jungle";"frigid:superheated:tropical:artic"
972;"Starlight Whisper Demetrian";2562;1,53;0,764;1,26;"island:glacier";"frozen:hot"
973;"Betelgeuse Nu";4711;8,99;1,019;2,07;"rock arche";"subartic:tropical:frozen"
974;"Nikawiy Centaurios";9862;4,32;0,957;1,65;"cliff:city:canyons";"superheated:artic:artificial temperate:rocky:humid"
975;"Xamidimura Dionysios";397;0,86;1,382;0,85;"verdant:rocky desert";"windy:humid"
976;"Xamidimura Janusian";397;2,47;1,147;1,29;"ice canyon:jungle";"subartic:superheated:hot:frigid"
977;"Xamidimura Gaios";397;1,39;1,028;1,11;"ice cave:island:verdant:jungle:cliff";"superheated:windy:artic:tropical:hot:frozen"
978;"Comet Veil Rho";3490;2,34;0,9;1,37;"bog:ash:forest:jungle:volcano";"superheated:subartic:tropical:artic"
979;"Tsukiyo XX";4013;1,71;0,687;1,36;"cave:river";"arid:windy:tropical:artificial temperate:frozen:temperate:subartic"
980;"Mesarthim Janusian";3870;1,74;0,626;1,41;"rock arche:forest";"frozen:arid:temperate:rocky:superheated:artificial temperate"
981;"Achernar Astraeos";8604;0,64;0,768;0,94;"glacier";"arid:temperate:frozen"
982;"Gienah Persephonian";2674;2,61;1,271;1,27;"forest:glacier";"subartic:windy:frozen:rocky:tropical:artificial temperate"
983;"Aurum Quasar Shi";1353;2,43;0,887;1,4;"jungle:hill:volcano:river:grassy hill:swamp:cliff:ocean:valley";"artificial temperate:hot:superheated:rocky:tropical:arid"
984;"Chertan Aphroditos";8689;8,27;1,098;1,96;"tundra";"superheated:frozen"
985;"Chertan Morphean";8689;7,35;0,946;1,98;"cityscape:lava river";"arid:artificial temperate"
986;"Chertan Harpian";8689;3,04;0,788;1,57;"mountain:field:rock arche:swamp:plateau:fungus forest:sea:canyons";"humid:tropical:frigid:artic:artificial temperate"
987;"Tania Borealis Echoian";3826;2,67;1,113;1,34;"urban:jungle:lava river";"humid:hot:windy"
988;"Nocturne Echo Er";1471;1,74;0,892;1,25;"cityscape:acid pool:swamp:rainforest:ice canyon";"rocky:tropical:subartic"
989;"Nocturne Echo San";1471;1,38;1,039;1,1;"rock arche:swamp:valley";"temperate:tropical:superheated"
990;"Nocturne Echo Qi";1471;6,88;0,718;2,12;"rocky canyon:city:cave:acid pool";"frozen:temperate:arid:hot:superheated"
991;"Nocturne Echo Yi";1471;9,62;1,096;2,06;"barren:cave";"arid"
992;"Luminous Ember Vigesimal";5914;1,24;0,946;1,09;"grassland:rocky island:rainforest:cave:acid pool";"tropical:frozen:windy:humid"
993;"Luminous Ember Nonal";5914;2,61;1,299;1,26;"mountain";"frigid:humid:temperate:artic"
994;"Hikari Gaze Yi";6132;7,05;0,545;2,35;"cave:lakes:reef";"temperate:tropical:artificial temperate:frigid:subartic"
995;"Ma'at's Cascade XXII";2193;6,6;1,349;xx;"jungle:rocky island:rainforest:verdant:bog";"frozen:tropical:rocky"
996;"Kaus Australis Qi";8170;1,12;0,967;1,05;"fungus forest:rocky desert:swamp:valley:plain:tundra:rock arche:field";"subartic:frigid:artificial temperate:frozen:hot:tropical"
997;"Kaus Australis Shi";8170;0,4;1,159;0,7;"savanna:ice cave:sea:rock arche";"tropical:frigid:subartic:rocky"
998;"Helionara XIII";7715;0,47;1,58;0,67;"lava river:scrubland:desert:city";"arid:artic:artificial temperate"
999;"Uklun Er";8361;3,15;1,132;1,41;"plateau:rocky island:field";"temperate:frozen:tropical:rocky:subartic"
1000;"Uklun Si";8361;1,23;1,562;0,92;"bog:toxic cloudsea:jungle:verdant:rock arche:vine";"frozen:temperate:humid:tropical:artic"
1001;"Uklun Wu";8361;7,31;0,659;2,23;"verdant:hill:rocky desert:plain:sinkholes:ice canyon";"temperate:humid:frigid:superheated"
1002;"Segin XVI";1894;5,59;0,503;2,23;"rocky desert:plateau:glacier:valley";"temperate:frozen:frigid:artic:tropical:windy"
1003;"Anubis' Echo Jiu";4866;7,38;1,431;1,73;"acid pool:grassy hill:plain:bog:volcano:island";"artificial temperate:rocky:hot:artic"
1004;"Anubis' Echo Liu";4866;2,52;0,832;1,45;"canyons:swamp:rocky desert:grassy hill:glacier";"windy:humid:temperate:frigid:artic"
1005;"Anubis' Echo Si";4866;5,18;1,101;1,68;"river:ice cave";"frozen:artificial temperate"
1006;"Anubis' Echo Wu";4866;1,42;1,286;1,03;"volcano:valley:tundra";"frozen:arid:subartic"
1007;"Diphda Nymphios";4316;8,01;1,252;1,86;"desert:river:jungle:volcano:ice canyon:rocky desert:plateau";"rocky:superheated:temperate:artic:hot"
1008;"Diphda Oranos";4316;3,42;0,987;1,51;"reef:rainforest:lakes:grassland:jungle:city:cliff";"windy:humid:arid:frigid:artificial temperate:temperate"
1009;"Diphda Echoian";4316;7,11;0,604;2,27;"field:lava river:savanna";"artificial temperate:tropical:artic:superheated"
1010;"Diphda Irisian";4316;0,74;0,963;0,92;"acid pool:urban";"rocky:humid"
1011;"Isis' Labyrinth Gamma";4230;1,76;1,108;1,17;"jungle";"hot:windy:subartic"
1012;"Isis' Labyrinth Xi";4230;1,06;1,417;0,91;"field:lava river:grassy hill:cityscape";"frozen:superheated:artic:hot"
